Row #,Species,Count,Location,S/P,Date,LocID,SubID
215,American White Pelican,,Florida,US-FL,3-Mar-96,L108932,S58534126
216,Brown Pelican,,"Ano Nuevo SP--Visitors Center, Elephant Seals and all trails",US-CA,4-Aug-90,L109471,S58409136
217,American Bittern,,Grizzly Island Wildlife Area,US-CA,20-Jan-91,L371137,S58408912
218,Least Bittern,,Patagonia Lake State Park,US-AZ,5-Apr-03,L129050,S58536077
219,Great Blue Heron,,Elkhorn Slough Reserve (NERR),US-CA,14-Apr-90,L353255,S58409339
220,Great Egret,,Elkhorn Slough Reserve (NERR),US-CA,14-Apr-90,L353255,S58409339
221,Snowy Egret,,Pt. Pinole Regional Park,US-CA,6-Jan-91,L109308,S58530130
222,Little Blue Heron,,Florida,US-FL,3-Mar-96,L108932,S58534126
223,Tricolored Heron,,Florida,US-FL,3-Mar-96,L108932,S58534126
224,Cattle Egret,,Florida,US-FL,3-Mar-96,L108932,S58534126
225,Green Heron,,Dolph Nature Area,US-MI,11-May-96,L210751,S58533177
226,Black-crowned Night-Heron,,Magee Marsh (Ottawa Co.),US-OH,15-May-94,L275517,S58532659
227,Yellow-crowned Night-Heron,,Florida,US-FL,3-Mar-96,L108932,S58534126
228,White Ibis,,Florida,US-FL,3-Mar-96,L108932,S58534126
229,Glossy Ibis,,Florida,US-FL,3-Mar-96,L108932,S58534126
230,White-faced Ibis,,Bosque del Apache NWR,US-NM,25-Jul-01,L127945,S58534709
231,Roseate Spoonbill,,Florida,US-FL,3-Mar-96,L108932,S58534126
232,California Condor,1,Andrew Molera SP--BSOL net lanes to corral only (do not use for coast),US-CA,12-Aug-06,L452553,S58501506
233,Black Vulture,,Florida,US-FL,3-Mar-96,L108932,S58534126
234,Turkey Vulture,,Sugar Loaf Ridge SP,US-CA,29-Apr-90,L589049,S58409276
235,Osprey,,Pt. Reyes--Limantour Beach,US-CA,11-Nov-90,L590462,S58530622
236,White-tailed Kite,,Elkhorn Slough Reserve (NERR),US-CA,14-Apr-90,L353255,S58409339
237,Swallow-tailed Kite,,Florida,US-FL,3-Mar-96,L108932,S58534126
238,Golden Eagle,,Ohlone Audubon Panoche Pass trip,US-CA,5-Feb-01,L9709844,S58529303
239,Northern Harrier,,"Ano Nuevo SP--Visitors Center, Elephant Seals and all trails",US-CA,4-Aug-90,L109471,S58409136
240,Sharp-shinned Hawk,,Golden Gate Audubon stops,US-CA,24-May-92,L9700249,S58527732
241,Cooper's Hawk,,Arizona,US-AZ,7-Apr-97,L108915,S58536473
242,Northern Goshawk,1,Hollywood Blvd - Howie/ Karen Neilsen's,US-ME,27-Jun-91,L6170052,S58559770
243,Bald Eagle,,Magee Marsh (Ottawa Co.),US-OH,15-May-94,L275517,S58532659
244,Gray Hawk,,Arizona,US-AZ,7-Apr-97,L108915,S58536473
245,Red-shouldered Hawk,,Pt. Pinole Regional Park,US-CA,6-Jan-91,L109308,S58530130
246,Broad-winged Hawk,,Pinckney RA--Embury Rd,US-MI,14-Jun-11,L1131706,S58325016
247,Hawaiian Hawk,,Hawaii,US-HI,16-Apr-08,L108936,S58160405
248,Swainson's Hawk,,Arizona,US-AZ,7-Apr-97,L108915,S58536473
249,Zone-tailed Hawk,,Patagonia Lake State Park,US-AZ,5-Apr-03,L129050,S58536077
250,Red-tailed Hawk,,Elkhorn Slough Reserve (NERR),US-CA,14-Apr-90,L353255,S58409339
251,Rough-legged Hawk,,Grizzly Island Wildlife Area,US-CA,20-Jan-91,L371137,S58408912
252,Ferruginous Hawk,,Pt. Reyes--Fish Docks,US-CA,29-Sep-01,L453386,S58403440
253,Barn Owl,1,Owl Canyon - ONLY (waterbirds from this site OK),US-CA,18-Sep-09,L598128,S58332677
254,Western Screech-Owl,,Cazadero cabin,US-CA,20-Aug-02,L9686240,S58404445
255,Eastern Screech-Owl,1,Magee Marsh (Ottawa Co.),US-OH,15-May-94,L275517,S58532659
256,Great Horned Owl,,Elkhorn Slough Reserve (NERR),US-CA,14-Apr-90,L353255,S58409339
257,Northern Pygmy-Owl,1,Sunol Regional Wilderness--Little Yosemite area,US-CA,4-Apr-19,L2919377,S54550830
258,Elf Owl,,Madera Canyon--Santa Rita Lodge,US-AZ,8-Apr-03,L268114,S58536760
259,Burrowing Owl,8,Cleo and John's farm,US-SD,15-Jul-90,L9434444,S58286638
260,Barred Owl,,Sylva/Smoky Mtn Vacation,US-NC,1-Jul-97,L9710194,S58531217
261,Great Gray Owl,,Golden Gate Audubon stops,US-CA,24-May-92,L9700249,S58527732
262,Long-eared Owl,,Tule Lake NWR (SIS Co.),US-CA,9-Aug-09,L639242,S58332291
263,Short-eared Owl,,Coyote Hills Regional Park,US-CA,12-Dec-12,L216132,S58404689
264,Northern Saw-whet Owl,1,Golden Gate Audubon stops,US-CA,31-May-13,L9700249,S58482810
265,Elegant Trogon,2,Chiricahua Mtn area,US-AZ,26-Jul-01,L9710886,S58535468
266,Belted Kingfisher,,Elkhorn Slough Reserve (NERR),US-CA,14-Apr-90,L353255,S58409339
