Row #,Species,Count,Location,S/P,Date,LocID,SubID
63,Ruby-throated Hummingbird,1,Waukesha,US-WI,02 Jul 2015,L3771419,S24159799
64,Black-chinned Hummingbird,2,Hoggsville,US-CA,12 Jul 2020,L1304461,S71400733
65,Anna's Hummingbird,,McLaughlin Eastshore SP--Albany access,US-CA,28 Oct 2006,L2377313,S77324381
66,Rufous Hummingbird,1,Creekside Park (ALA Co.),US-CA,22 Apr 2011,L1764657,S66501847
67,Allen's Hummingbird,,Owl Hill (private),US-CA,01 May 2010,L1305048,S9045118
68,Calliope Hummingbird,1,Claremont Canyon Regional Preserve,US-CA,22 Apr 2020,L933409,S67633376
69,Broad-billed Hummingbird,1,Playa Madera,MX-GRO,31 Jan 2020,L2578725,S63963370
70,Cinnamon Hummingbird,1,Ixtapa ecological park,MX-GRO,17 Dec 2012,L1846828,S12353484
71,Ridgway's Rail,2,San Francisco Bay Trail--S 51st St.,US-CA,12 Jan 2013,L1415714,S12573439
72,Virginia Rail,2,Las Gallinas Valley Sanitary District,US-CA,01 Dec 2012,L207664,S12202480
73,Sora,4,Las Gallinas Valley Sanitary District,US-CA,11 Nov 2012,L207664,S12017041
74,Common Gallinule,1,Ixtapa ecological park,MX-GRO,17 Dec 2012,L1846828,S12353484
75,American Coot,10,McLaughlin Eastshore SP--Albany access,US-CA,23 Oct 2011,L2377313,S9003640
76,Purple Gallinule,2,"40881, Zihuatanejo MX-GRO (17.6351,-101.4727)",MX-GRO,03 Feb 2020,L10677418,S64090888
77,Sandhill Crane,2,Kettle Moraine SF--Ottawa Lake Recreation Area,US-WI,01 Jul 2015,L1053972,S24159975
78,Eurasian Thick-knee,1,Botrona adjacent farmland,IT-52,26 Jun 2019,L9635891,S58153928
79,Black-winged Stilt,5,Diaccia Botrona--Padule Aperto,IT-52,26 Jun 2019,L9635843,S58153618
80,Black-necked Stilt,3,McLaughlin Eastshore SP--Albany access,US-CA,05 Nov 2011,L2377313,S9059252
81,American Avocet,,McLaughlin Eastshore SP--Albany access,US-CA,28 Oct 2006,L2377313,S77324381
82,Black Oystercatcher,,McLaughlin Eastshore SP--Albany access,US-CA,28 Oct 2006,L2377313,S77324381
83,Black-bellied Plover,,McLaughlin Eastshore SP--Albany access,US-CA,28 Oct 2006,L2377313,S77324381
84,Pacific Golden-Plover,1,Hayward Regional Shoreline,US-CA,25 Oct 2020,L225431,S75409935
85,Snowy Plover,2,Hayward Regional Shoreline,US-CA,02 Jun 2012,L225431,S10898907
86,Semipalmated Plover,2,Hayward Regional Shoreline,US-CA,28 Jul 2012,L225431,S11234894
87,Killdeer,9,Rodeo Lagoon,US-CA,12 Oct 2002,L139567,S75350051
88,Northern Jacana,10,"40881, Zihuatanejo MX-GRO (17.6351,-101.4727)",MX-GRO,03 Feb 2020,L10677418,S64090888
89,Whimbrel,,McLaughlin Eastshore SP--Albany access,US-CA,28 Oct 2006,L2377313,S77324381
90,Long-billed Curlew,,McLaughlin Eastshore SP--Albany access,US-CA,28 Oct 2006,L2377313,S77324381
91,Eurasian Curlew,1,Diaccia Botrona--Padule Aperto,IT-52,26 Jun 2019,L9635843,S58153618
92,Bar-tailed Godwit,1,Emeryville Marina,US-CA,02 Nov 2019,L764558,S61125884
93,Marbled Godwit,,McLaughlin Eastshore SP--Albany access,US-CA,28 Oct 2006,L2377313,S77324381
94,Ruddy Turnstone,1,Hayward Regional Shoreline,US-CA,28 Jul 2012,L225431,S11234894
