Row #,Species,Count,Location,S/P,Date,LocID,SubID
816,Rufous Hornero,,Itapoa,BR-SC,05 Dec 2010,L11341622,S9841342
817,Araucaria Tit-Spinetail,1,Sao Luis do Purunã,BR-PR,09 Dec 2010,L1651598,S11312571
818,Firewood-gatherer,1,Sao Luis do Purunã,BR-PR,23 Feb 2013,L1651598,S13296731
819,Double-banded Graytail,1,Toma de agua de Tortí,PA-8,10 Apr 2018,L1126038,S44451812
820,Olive Spinetail,1,Parque Barigui,BR-PR,09 Dec 2010,L2433781,S11312568
821,Yellow-chinned Spinetail,2,Parque Barigui,BR-PR,23 Feb 2013,L2433781,S13163103
822,Lance-tailed Manakin,3,Summit Ponds,PA-8,13 Apr 2018,L589165,S44541076
823,Swallow-tailed Manakin,1,Sao Luis do Purunã,BR-PR,09 Dec 2010,L1651598,S11312571
824,White-ruffed Manakin,1,Nusagandi,PA-KY,09 Apr 2018,L1345857,S44419686
825,Blue-crowned Manakin,1,Nusagandi,PA-KY,09 Apr 2018,L1345857,S44419686
826,Golden-collared Manakin,4,Reserva San Francisco,PA-8,10 Apr 2018,L1092612,S44452000
827,Red-capped Manakin,9,Nusagandi,PA-KY,09 Apr 2018,L1345857,S44419686
828,Golden-headed Manakin,1,Reserva San Francisco,PA-8,10 Apr 2018,L1092612,S44452000
829,Purple-throated Fruitcrow,2,Reserva San Francisco,PA-8,10 Apr 2018,L1092612,S44452000
830,Red-ruffed Fruitcrow,1,Volta Velha Reserve,BR-SC,05 Dec 2010,L1417154,S11312563
831,Blue Cotinga,1,Nusagandi,PA-KY,09 Apr 2018,L1345857,S44419686
832,Rufous Piha,3,Nusagandi,PA-KY,09 Apr 2018,L1345857,S44419686
833,Black-tailed Tityra,,Itapoa,BR-SC,05 Dec 2010,L11341622,S9841342
834,Black-crowned Tityra,1,Reserva San Francisco,PA-8,10 Apr 2018,L1092612,S44452000
835,Masked Tityra,1,Reserva San Francisco,PA-8,10 Apr 2018,L1092612,S44452000
836,Russet-winged Schiffornis,1,Pipeline Road  (Camino del Oleoducto) General area,PA-3,13 Apr 2018,L454711,S44540500
837,Speckled Mourner,1,Reserva San Francisco,PA-8,10 Apr 2018,L1092612,S44452000
838,Cinnamon Becard,1,Nusagandi,PA-KY,09 Apr 2018,L1345857,S44419686
839,White-winged Becard,6,Achiote Rd. (general location),PA-3,14 Apr 2018,L454695,S44575629
840,Rose-throated Becard,1,Estero Llano Grande SP--Tropical Zone,US-TX,05 Mar 2017,L1148441,S35066551
841,One-colored Becard,1,Puente del Río Mono,PA-8,10 Apr 2018,L1438791,S44452471
842,Crested Becard,1,Sao Luis do Purunã,BR-PR,09 Dec 2010,L1651598,S11312571
843,Royal Flycatcher,1,Reserva San Francisco,PA-8,10 Apr 2018,L1092612,S44452000
844,Ruddy-tailed Flycatcher,1,Los Altos de Cerro Azul,PA-8,11 Apr 2018,L1452749,S44480236
845,Ochre-bellied Flycatcher,1,Panama Rainforest Discovery Center,PA-3,12 Apr 2018,L454707,S44511746
846,Gray-hooded Flycatcher,1,PN do Superagui--Trilha da Praia Deserta,BR-PR,24 Feb 2013,L3878894,S13219135
847,Restinga Tyrannulet,8,PN do Superagui--Trilha da Praia Deserta,BR-PR,24 Feb 2013,L3878894,S13219135
848,Black-capped Pygmy-Tyrant,4,Nusagandi,PA-KY,09 Apr 2018,L1345857,S44419686
849,Scale-crested Pygmy-Tyrant,1,Cerro Jefe,PA-8,11 Apr 2018,L1125806,S44479521
850,Southern Bentbill,1,Ammo Dump Ponds,PA-3,12 Apr 2018,L1740339,S44512248
851,Slate-headed Tody-Flycatcher,2,Achiote Rd. (general location),PA-3,14 Apr 2018,L454695,S44575629
852,Gray-headed Tody-Flycatcher,1,Volta Velha Reserve,BR-SC,05 Dec 2010,L1417154,S11312563
853,Common Tody-Flycatcher,1,Reserva San Francisco,PA-8,10 Apr 2018,L1092612,S44452000
854,Black-headed Tody-Flycatcher,1,Reserva San Francisco,PA-8,10 Apr 2018,L1092612,S44452000
855,Brownish Twistwing,1,Pipeline Road  (Camino del Oleoducto) General area,PA-3,13 Apr 2018,L454711,S44540500
856,Olivaceous Flatbill,1,Reserva San Francisco,PA-8,10 Apr 2018,L1092612,S44452000
857,Yellow-olive Flycatcher,1,Carretera El Llano-Cartí--Sabanas de El Llano,PA-8,10 Apr 2018,L3624285,S44452533
