Row #,Species,Count,Location,S/P,Date,LocID,SubID
1142,Nubian Woodpecker,2,"Afar Plains—(9.5192,40.0114)",ET-AF,15 Feb 2018,L6877280,S58094165
1143,Northern Sooty-Woodpecker,4,Subic Bay,PH-BAN,03 Oct 2015,L921004,S64937456
1144,Lineated Woodpecker,,Reserva Ecológica Chaparri,PE-LAM,18 Oct 2012,L3966184,S64937162
1145,Pileated Woodpecker,,Golden Gate Audubon stops,US-CA,24 May 1992,L9700249,S72093720
1146,White-bellied Woodpecker,5,Subic Bay,PH-BAN,03 Oct 2015,L921004,S64937456
1147,Black Woodpecker,,Spain,ES-,25 Sep 2016,L3679729,S64937377
1148,Cinnamon Woodpecker,,Canopy Tower locality,PA-8,21 Oct 2014,L9690908,S64937292
1149,Ringed Woodpecker,2,Río Inírida--Inírida,CO-GUA,09 Jul 2018,L2613195,S72092121
1150,Scale-breasted Woodpecker,1,Caño Culebra Trail,CO-GUA,08 Jul 2018,L7562069,S72092127
1151,Cream-colored Woodpecker,1,RN Tucuxira,CO-AMA,28 Jun 2018,L5868149,S64937517
1152,Chestnut Woodpecker,1,Reserva Natural Palmarí,BR-AM,25 Jun 2018,L3018622,S72092187
1153,Blond-crested Woodpecker,1,Itanhaém--Rua Jequirituba,BR-SP,09 Nov 2019,L4998910,S62338095
1154,Yellow-throated Woodpecker,1,Guaraú--área geral,BR-SP,10 Nov 2019,L3532504,S72091478
1155,Golden-green Woodpecker,,Day 3 Darien Camp - El Salto Road and Arusa Road,PA-5,03 Nov 2014,L9689040,S64937281
1156,White-browed Woodpecker,1,Reserva Ecológica de Guapiaçu (REGUA),BR-RJ,25 Nov 2019,L612882,S70570319
1157,Golden-olive Woodpecker,,Reserva Ecológica Chaparri,PE-LAM,18 Oct 2012,L3966184,S64937162
1158,Crimson-mantled Woodpecker,1,RNA Loro Orejiamarillo (Yellow-eared Parrot Reserve),CO-ANT,02 Jul 2019,L604060,S57893420
1159,Black-necked Woodpecker,,Leymeamba to Choctamal Lodge,PE-AMA,08 Oct 2012,L9694359,S64937221
1160,Spot-breasted Woodpecker,1,Moyobama towards Jaen,PE-SAM,15 Oct 2012,L9695353,S64937179
1161,Green-barred Woodpecker,1,PE Carlos Botelho--Mirante,BR-SP,11 Nov 2019,L4108252,S61861328
1162,Northern Flicker,,Pt. Pinole Regional Park,US-CA,06 Jan 1991,L109308,S72093793
1163,Gilded Flicker,2,El Fuerte,MX-SIN,27 Dec 2002,L3797811,S72501700
1164,Andean Flicker,,Cajamarca region,PE-CAJ,05 Oct 2012,L9694072,S64937236
1165,Campo Flicker,2,PE Intervales,BR-SP,12 Nov 2019,L972187,S62213679
1166,Red-legged Seriema,1,"Unnamed Road, Rio de Janeiro, BR (-21.922, -42.683)",BR-RJ,24 Nov 2019,L10274639,S62213823
1167,Slaty-backed Forest-Falcon,,Río Chucunaque,PA-5,04 Nov 2014,L2306454,S64937278
1168,Collared Forest-Falcon,,Canopy Tower locality,PA-8,21 Oct 2014,L9690908,S64937292
1169,Black Caracara,1,Rio Amazonas--Isla Ronda,CO-AMA,30 Jun 2018,L465437,S64937510
1170,Red-throated Caracara,,Río Chucunaque,PA-5,04 Nov 2014,L2306454,S64937278
1171,Mountain Caracara,,Cajamarca to Celedin,PE-CAJ,06 Oct 2012,L9694147,S64937232
1172,Crested Caracara,30,El Fuerte,MX-SIN,27 Dec 2002,L3797811,S72501700
1173,Southern Caracara,1,PE Intervales,BR-SP,11 Nov 2019,L972187,S62338130
