Row #,Species,Count,Location,S/P,Date,LocID,SubID
451,Kauai Elepaio,4,HI: Alakai Swamp Trail--Trailhead to Pihea Trail junction,US-HI,15 Jan 2013,L1426322,S12708514
452,Loggerhead Shrike,2,Jeff's,US-CA,09 Jun 2009,L734998,S5075294
453,Northern Shrike,1,"NM Los Alamos, White Rock Treatment Plant and nearby areas",US-NM,01 Jan 2013,L873135,S12447253
454,Canada Jay,12,Cabin,US-NM,11 Oct 2009,L789639,S5429557
455,Brown Jay,4,Courtyard Marriot Cancún Airport,MX-ROO,02 Nov 2018,L2439034,S49616424
456,Green Jay,3,Estero Llano Grande SP WBC (LTC 054),US-TX,27 Feb 2014,L259855,S17310428
457,Yucatan Jay,4,Courtyard Marriot Cancún Airport,MX-ROO,02 Nov 2018,L2439034,S49616424
458,Pinyon Jay,8,392 Navajo Road,US-NM,31 Aug 2009,L714012,S5302206
459,Steller's Jay,,"Los Alamos, 2920 Arizona Avenue",US-NM,15 May 1983,L2575471,S17777145
460,Blue Jay,4,"Benson Park, Hudson",US-NH,12 Apr 2011,L796023,S8093729
461,Florida Scrub-Jay,2,"12009 Foresman Blvd, Port Charlotte US-FL (26.9450,-82.2554)",US-FL,24 Jan 2018,L6749419,S42212406
462,California Scrub-Jay,3,Reno,US-NV,07 Jun 2009,L734962,S5075193
463,Woodhouse's Scrub-Jay,4,392 Navajo Road,US-NM,29 Apr 2009,L714012,S4938521
464,Mexican Jay,12,Cave Creek Canyon--South Fork,US-AZ,23 Jul 2012,L129099,S11220022
465,Black-billed Magpie,,"Los Alamos, 2920 Arizona Avenue",US-NM,11 May 1984,L2575471,S17777312
466,Yellow-billed Magpie,2,Jeff's,US-CA,09 Jun 2009,L734998,S5075294
467,Clark's Nutcracker,1,392 Navajo Road,US-NM,31 Jul 2009,L714012,S5214284
468,American Crow,4,392 Navajo Road,US-NM,29 Apr 2009,L714012,S4938521
469,Northwestern Crow,8,"Greenbank, 765 Wonn Road",US-WA,12 Jul 2014,L2975863,S19083507
470,Fish Crow,2,Jekyll Island--Welcome Center,US-GA,04 Feb 2013,L656482,S12924050
471,Chihuahuan Raven,4,"NM, Luna, Rodeo",US-NM,23 Jul 2012,L1637513,S11219961
472,Common Raven,,"Los Alamos, 2920 Arizona Avenue",US-NM,15 May 1983,L2575471,S17777145
473,Carolina Chickadee,3,Morgan Falls Overlook Park,US-GA,03 Feb 2013,L2096771,S15734113
474,Black-capped Chickadee,5,Velarde,US-NM,14 Dec 2009,L816068,S5642746
475,Mountain Chickadee,,"Los Alamos, 2920 Arizona Avenue",US-NM,15 May 1983,L2575471,S17777145
476,Chestnut-backed Chickadee,1,Monterey--Don Dahvee Park,US-CA,14 Sep 2012,L1051068,S11616321
477,Boreal Chickadee,2,Willow Burn area,US-AK,12 Jun 2017,L5969129,S37603570
478,Bridled Titmouse,2,Portal,US-AZ,24 Jul 2012,L129060,S11219943
479,Oak Titmouse,1,Monterey Soledad Drive,US-CA,17 Sep 2012,L1754807,S11618275
480,Juniper Titmouse,2,392 Navajo Road,US-NM,20 Jun 2009,L714012,S5124424
481,Tufted Titmouse,5,Roswell residential,US-GA,03 Feb 2013,L1928620,S12924224
482,Black-crested Titmouse,4,Estero Llano Grande SP WBC (LTC 054),US-TX,27 Feb 2014,L259855,S17310428
483,Verdin,1,"NM, Sierra, Rotary Park",US-NM,11 Feb 2012,L1413176,S9815519
484,Horned Lark,10,Sask,CA-SK,20 Oct 2009,L794424,S5469378
485,Northern Rough-winged Swallow,11,Deerlodge Park,US-CO,11 Jun 2010,L955807,S6639182
486,Purple Martin,11,Estero Llano Grande SP WBC (LTC 054),US-TX,27 Feb 2014,L259855,S17310428
487,Tree Swallow,55,San Luis NWR,US-CA,13 Apr 2010,L887670,S6279926
488,Mangrove Swallow,16,Reserva de la Biosfera Calakmul--Zona Arqueológica Becán,MX-CAM,08 Nov 2018,L1575180,S50331875
489,Violet-green Swallow,6,392 Navajo Road,US-NM,29 Apr 2009,L714012,S4938521
490,Bank Swallow,12,Jeff's,US-CA,09 Jun 2009,L734998,S5075294
491,Barn Swallow,8,Jeff's,US-CA,09 Jun 2009,L734998,S5075294
492,Cliff Swallow,12,Jeff's,US-CA,09 Jun 2009,L734998,S5075294
493,Cave Swallow,7,Estero Llano Grande SP WBC (LTC 054),US-TX,27 Feb 2014,L259855,S17310428
494,Arctic Warbler,4,Council Road--traveling,US-AK,17 Jun 2017,L5988594,S37713420
495,Japanese Bush Warbler,4,HI: Alakai Swamp Trail--Trailhead to Pihea Trail junction,US-HI,15 Jan 2013,L1426322,S12708514
496,Bushtit,,Enchanted Rock SNA (Gillespie Co),US-TX,14 Apr 1984,L2634028,S17777621
497,Wrentit,1,Dairy Mart Rd.--main pond,US-CA,18 Nov 2012,L469000,S12116257
498,Warbling White-eye,2,Hanalei NWR -- Highway Overlook,US-HI,13 Jan 2013,L1169080,S12708672
499,Golden-crowned Kinglet,1,Camp May Nordic Trails,US-NM,11 May 2011,L823725,S8225715
500,Ruby-crowned Kinglet,1,Cochiti upper end,US-NM,10 Nov 2009,L800076,S5517132
501,Red-breasted Nuthatch,1,Carson,US-NM,19 Dec 2009,L818250,S5661131
502,White-breasted Nuthatch,,"Los Alamos, 2920 Arizona Avenue",US-NM,15 May 1983,L2575471,S17777145
503,Pygmy Nuthatch,,"Los Alamos, 2920 Arizona Avenue",US-NM,31 Dec 1983,L2575471,S17777249
504,Brown-headed Nuthatch,1,Morgan Falls Overlook Park,US-GA,03 Feb 2013,L2096771,S15734113
505,Brown Creeper,,"Los Alamos, 2920 Arizona Avenue",US-NM,31 Dec 1983,L2575471,S17777249
506,Blue-gray Gnatcatcher,1,392 Navajo Road,US-NM,22 Jun 2009,L714012,S5124428
507,Black-tailed Gnatcatcher,1,"NV, Big Bend Rec Area",US-NV,04 Mar 2012,L1456952,S10197683
508,Black-capped Gnatcatcher,2,Patagonia Lake State Park,US-AZ,08 Feb 2016,L129050,S27378842
509,Rock Wren,1,Tesuque,US-NM,02 Jan 2010,L825016,S5713823
510,Canyon Wren,1,392 Navajo Road,US-NM,05 Jul 2009,L714012,S5145854
511,House Wren,,"Los Alamos, 2920 Arizona Avenue",US-NM,11 May 1984,L2575471,S17777312
512,Pacific Wren,5,Hidden Villa,US-CA,28 May 2013,L558894,S15734280
513,Winter Wren,1,Patagonia Lake SP--Birding Trail,US-AZ,12 Dec 2016,L2064166,S32985454
514,Sedge Wren,2,"Sherburne National Wildlife Refuge, Zimmerman US-MN (45.4803,-93.7005)",US-MN,10 Jul 2018,L7692888,S47112085
515,Marsh Wren,12,Jeff's,US-CA,09 Jun 2009,L734998,S5075294
516,Carolina Wren,1,Morgan Falls Overlook Park,US-GA,03 Feb 2013,L2096771,S15734113
517,Bewick's Wren,,Guadalupe River near New Braunfels,US-TX,13 Apr 1984,L2758992,S17777487
518,Band-backed Wren,3,Monumentos Naturales Bonampak--Zona Arqueológica Bonampak,MX-CHP,11 Nov 2018,L285292,S50219209
519,Yucatan Wren,1,Ejido San Salvador,MX-YUC,03 Nov 2018,L3622236,S50269037
520,Cactus Wren,2,"Kingman, AZ",US-AZ,01 Mar 2011,L1107333,S7798507
521,Spot-breasted Wren,1,"(21.2092,-88.1687)",MX-YUC,03 Nov 2018,L8192675,S50263568
522,American Dipper,1,"Dixon, NM",US-NM,13 Feb 2013,L1932932,S12949133
523,European Starling,1,392 Navajo Road,US-NM,05 May 2009,L714012,S4961343
524,Common Myna,6,Kawaiele State Waterbird Sanctuary,US-HI,13 Jan 2013,L469355,S12708628
525,Gray Catbird,1,"NM, Rio Arriba, Rinconada",US-NM,15 Dec 2012,L1520556,S12312991
526,Curve-billed Thrasher,3,Tesuque,US-NM,02 Jan 2010,L825016,S5713823
527,Brown Thrasher,2,Jekyll Island (please consider using more specific locations),US-GA,05 Feb 2013,L140461,S12924185
528,Long-billed Thrasher,1,Valley Nature Ctr. (LTC 057),US-TX,27 Feb 2014,L300042,S17310433
529,Bendire's Thrasher,1,"NM, Luna, State Line Road",US-NM,25 Jul 2012,L1637560,S11220213
530,California Thrasher,1,Lake Murray--Murray Park Dr. entrance,US-CA,25 Nov 2015,L3675490,S25997733
531,LeConte's Thrasher,1,US-AZ-Tonopah-33498-33558 W Salome Hwy - 33.3818x-112.7715,US-AZ,28 Feb 2016,L4319294,S27870167
532,Crissal Thrasher,1,Bosque HQ,US-NM,15 Jan 2011,L1067077,S7438073
533,Sage Thrasher,1,Jones Hole Rd -- Jones Hole Creek area,US-UT,14 Jun 2010,L503160,S6638621
534,Tropical Mockingbird,4,Laguna Cobá,MX-ROO,02 Nov 2018,L1633060,S50232944
