Row #,Species,Count,Location,S/P,Date,LocID,SubID
61,White-winged Dove,15,San Pedro RNCA--San Pedro House and trails,US-AZ,19 Mar 2019,L129080,S54020237
62,Mourning Dove,6,Coyote Hills Regional Park,US-CA,15 Oct 2017,L216132,S39978728
63,Gray-green Fruit-Dove,3,Moorea - Opunohu Valley,PF-WI,25 Sep 2019,L2413948,S60119775
64,Greater Roadrunner,1,Del Puerto Canyon Rd.--grassland (mile 0-3.4),US-CA,11 Feb 2018,L1673350,S42683108
65,Common Nighthawk,4,"Shasta-Trinity National Forest, Trinity Center US-CA 41.22152, -122.75257",US-CA,14 Aug 2020,L12091439,S72528149
66,Common Poorwill,5,Organ Pipe Cactus NM--Main Campground & Sewage Ponds,US-AZ,23 Mar 2019,L3959912,S54159595
67,Chimney Swift,15,Chattahoochee River NRA--East Palisades Unit,US-GA,26 Apr 2019,L1947998,S55425863
68,Vaux's Swift,4,Mt. Diablo SP--Pine Canyon,US-CA,18 Apr 2018,L830363,S44693646
69,Polynesian Swiftlet,5,"(-17.5638,-149.5298) Mt. Aora’i",PF-WI,19 Oct 2019,L10055453,S60774781
70,Alpine Swift,15,"Dimokratias 269, Agios Dimitrios GR-East Attica (37.7984,23.8783)",GR-I,06 Aug 2018,L7795277,S47693446
71,White-throated Swift,20,Redwood Regional Park--Skyline Gate area,US-CA,15 Jan 2018,L803038,S41943983
72,Rivoli's Hummingbird,1,Portal--Jasper/Moisan feeders (opened 2015),US-AZ,22 Mar 2019,L3642537,S54119357
73,Blue-throated Mountain-gem,1,Portal--Jasper/Moisan feeders (opened 2015),US-AZ,22 Mar 2019,L3642537,S54119357
74,Black-chinned Hummingbird,1,Henderson Bird Viewing Preserve,US-NV,08 Oct 2018,L209342,S49054368
75,Anna's Hummingbird,3,US-CA-Oakland-438 49th St - 37.8356x-122.2603,US-CA,11 Oct 2015,L3952117,S25377880
76,Costa's Hummingbird,1,Del Puerto Canyon Rd.--Owl and Graffiti Rocks,US-CA,20 Apr 2018,L1530425,S44751448
77,Broad-tailed Hummingbird,1,Portal--Jasper/Moisan feeders (opened 2015),US-AZ,22 Mar 2019,L3642537,S54119357
78,Rufous Hummingbird,1,Yard,US-CA,10 Apr 2018,L6683336,S44452062
79,Allen's Hummingbird,4,Tilden Regional Park,US-CA,26 Jan 2018,L374452,S42256152
80,Calliope Hummingbird,8,Mt. Diablo SP--Mitchell Canyon,US-CA,10 Apr 2019,L275399,S54790596
81,Broad-billed Hummingbird,1,Ramsey Canyon Inn (opened 1988),US-AZ,19 Mar 2019,L720652,S54012468
82,Ridgway's Rail,3,MLK Jr. Regional Shoreline--Arrowhead Marsh,US-CA,03 Feb 2018,L161083,S42465503
83,Virginia Rail,1,MacKerricher SP- Please use more precise location,US-CA,31 Jul 2018,L589099,S47567337
84,Sora,1,Briones Regional Park--Old Briones Rd. entrance,US-CA,17 Feb 2018,L803669,S42894838
85,Common Gallinule,2,"1 Surfsong Rd, Kiawah Island US-SC (32.6068,-80.0697)",US-SC,30 Dec 2017,L6629293,S41424327
86,American Coot,20,Berkeley Marina--Hs Lordship Restaurant area,US-CA,31 Jan 2016,L3063658,S27253820
87,Limpkin,1,Chattahoochee River NRA--East Palisades Unit,US-GA,25 Apr 2019,L1947998,S55412057
88,Sandhill Crane,5,Holland Tract,US-CA,09 Jan 2019,L593832,S51508896
89,Black-necked Stilt,40,Berkeley Aquatic Park,US-CA,19 Jan 2018,L597003,S42072716
90,American Avocet,500,Coyote Hills Regional Park,US-CA,15 Oct 2017,L216132,S39978728
91,American Oystercatcher,4,Milford Pt. (CT Audubon),US-CT,29 Mar 2018,L109216,S44055100
92,Black Oystercatcher,1,Berkeley Marina--Hs Lordship Restaurant area,US-CA,31 Jan 2016,L3063658,S27253820
93,Black-bellied Plover,5,Coyote Hills Regional Park,US-CA,15 Oct 2017,L216132,S39978728
94,Pacific Golden-Plover,1,"(-17.4830,-149.8428)",PF-WI,21 Sep 2019,L9944145,S59995391
95,Snowy Plover,16,Elsie Roemer Bird Sanctuary,US-CA,16 Feb 2018,L509134,S42848473
96,Semipalmated Plover,33,"1 Surfsong Rd, Kiawah Island US-SC (32.6068,-80.0697)",US-SC,31 Dec 2017,L6629293,S41462678
97,Piping Plover,1,Milford Pt. (CT Audubon),US-CT,29 Mar 2018,L109216,S44055100
98,Killdeer,5,Coyote Hills Regional Park,US-CA,15 Oct 2017,L216132,S39978728
99,Bristle-thighed Curlew,3,"Rimatuu and walk around bird island(-17.0282,-149.5519)",PF-WI,25 Oct 2019,L10082127,S60997870
