Row #,Species,Count,Location,S/P,Date,LocID,SubID
400,Black Bulbul,1,台北--台北植物園(Taipei--Taipei Botanical Garden),TW-TPE,03 Mar 2008,L2314029,S33552171
401,Dusky Warbler,1,台北--台北植物園(Taipei--Taipei Botanical Garden),TW-TPE,03 Mar 2008,L2314029,S33552171
402,Two-barred Warbler,1,花蓮--鯉魚潭(Hualien--Liyu Lake),TW-HUA,01 Feb 2017,L4398749,S34143441
403,Arctic Warbler,1,台北--大安森林公園(Taipei--Da'an Forest Park),TW-TPE,28 Jan 2017,L2319930,S33979933
404,Rufous-faced Warbler,5,台中大雪山IBA--大雪山林道15-35K(標示在27K附近)(Dasyueshan IBA--Dasyueshan Forest-Road 15-35K),TW-TXG,15 Mar 2019,L2259760,S54441317
405,Manchurian Bush Warbler,1,台北--台北植物園(Taipei--Taipei Botanical Garden),TW-TPE,05 Jan 2015,L2314029,S33783201
406,Brownish-flanked Bush Warbler,1,桃園--龍潭三坑自然生態公園(Taoyuan--Longtan Sankeng Natural Ecological Park),TW-TAO,03 Feb 2017,L5397704,S34126738
407,Black-throated Tit,4,台中大雪山IBA--大雪山林道15-35K(標示在27K附近)(Dasyueshan IBA--Dasyueshan Forest-Road 15-35K),TW-TXG,15 Mar 2019,L2259760,S54441317
408,Bushtit,,Coyote Hills Regional Park,US-CA,02 Sep 2006,L216132,S19272159
409,Wrentit,1,Palo Alto Baylands--Duck Pond,US-CA,21 Mar 2007,L776939,S33540099
410,Vinous-throated Parrotbill,2,南投--清境農場(Nantou--Qingjing Farm),TW-NAN,14 Nov 2012,L2972359,S33746851
411,Taiwan Yuhina,4,台中大雪山IBA--大雪山林道15-35K(標示在27K附近)(Dasyueshan IBA--Dasyueshan Forest-Road 15-35K),TW-TXG,28 Dec 2014,L2259760,S33767866
412,Warbling White-eye,,Maui Lu Resort,US-HI,23 Jul 2013,L2520655,S16326687
413,Swinhoe's White-eye,3,台北--台北植物園(Taipei--Taipei Botanical Garden),TW-TPE,03 Mar 2008,L2314029,S33552171
414,Rufous-capped Babbler,3,台北--田寮洋濕地(Taipei--Tianliaoyang Wetland),TW-TPQ,30 Jan 2017,L3242640,S34054507
415,Taiwan Scimitar-Babbler,2,台北--台北植物園(Taipei--Taipei Botanical Garden),TW-TPE,27 Jan 2017,L2314029,S33979942
416,Morrison's Fulvetta,1,南投--日月潭全區(Nantou--Sun Moon Lake),TW-NAN,16 Nov 2012,L1351293,S33747263
417,Chinese Hwamei,1,台北--大安森林公園(Taipei--Da'an Forest Park),TW-TPE,28 Jan 2017,L2319930,S33979933
418,White-whiskered Laughingthrush,2,台中大雪山IBA--大雪山林道31-32.5K(Dasyueshan IBA--Dasyueshan Forest-Road 31-32.5K),TW-TXG,28 Dec 2014,L3866551,S33767975
419,White-eared Sibia,2,南投--清境農場(Nantou--Qingjing Farm),TW-NAN,14 Nov 2012,L2972359,S33746851
420,Steere's Liocichla,2,南投--清境農場(Nantou--Qingjing Farm),TW-NAN,14 Nov 2012,L2972359,S33746851
421,Taiwan Barwing,1,台中大雪山IBA--大雪山林道31-32.5K(Dasyueshan IBA--Dasyueshan Forest-Road 31-32.5K),TW-TXG,28 Dec 2014,L3866551,S33767975
422,Golden-crowned Kinglet,1,Coyote Hills Regional Park,US-CA,26 Jun 2008,L216132,S19242766
423,Ruby-crowned Kinglet,,Coyote Hills Regional Park,US-CA,14 Dec 2007,L216132,S19249048
424,Red-breasted Nuthatch,1,Ed Levin CP--Spring Valley area,US-CA,26 Dec 2008,L686946,S33555407
425,White-breasted Nuthatch,1,Penitentiary Glen Reservation,US-OH,06 Jun 2004,L280336,S33490664
426,Pygmy Nuthatch,5,Redwood Regional Park--Golden Spike Trail,US-CA,06 Sep 2012,L1488226,S33744426
427,Brown Creeper,,Roberts Regional Recreation Area,US-CA,01 Jun 2009,L3000417,S19225524
428,Blue-gray Gnatcatcher,,Coyote Hills Regional Park,US-CA,14 Nov 2009,L216132,S19237028
429,California Gnatcatcher,2,Ocean Institute,US-CA,27 Dec 2015,L818226,S26472874
430,Rock Wren,1,Joshua Tree NP--Cholla Cactus Garden,US-CA,17 Jan 2009,L1000964,S33563504
431,Canyon Wren,,Mission Peak (ALA Co.),US-CA,17 Jul 2013,L1348994,S16326655
432,House Wren,,Sunol Regional Wilderness--Visitor Center area,US-CA,11 Apr 2008,L1342147,S19242716
433,Pacific Wren,,Coyote Hills Regional Park,US-CA,27 Sep 2012,L216132,S16380313
434,Marsh Wren,,Coyote Hills Regional Park,US-CA,15 Jan 2007,L216132,S19317613
435,Carolina Wren,1,Armand Bayou Nature Ctr. (UTC 081),US-TX,22 Feb 2012,L128880,S33604013
436,Bewick's Wren,,Sunol Regional Wilderness--Visitor Center area,US-CA,03 Feb 2007,L1342147,S16358545
437,American Dipper,1,Glacier NP--Running Eagle Falls Nature Trail,US-MT,22 Sep 2011,L1784940,S33600043
438,Asian Glossy Starling,2,台北--大安森林公園(Taipei--Da'an Forest Park),TW-TPE,16 Aug 2014,L2319930,S33766558
439,European Starling,2,Penitentiary Glen Reservation,US-OH,06 Jun 2004,L280336,S33490664
440,Black-collared Starling,3,台北--陽光運動公園(Taipei--Yangguang Sports Park),TW-TPQ,03 Feb 2014,L5273528,S33758994
441,Red-billed Starling,3,台南四草IBA--鹽田生態文化村(Sicao IBA--Salt Pan Cultural Center),TW-TNN,02 Jan 2015,L4401553,S33777869
442,Common Myna,1,台北--台北植物園(Taipei--Taipei Botanical Garden),TW-TPE,20 Nov 2012,L2314029,S33747491
443,Jungle Myna,4,台北--大安森林公園(Taipei--Da'an Forest Park),TW-TPE,16 Aug 2014,L2319930,S33766558
444,Javan Myna,4,嘉義--東石台82末端魚塭(Chiayi--Dongshi Fish Farm next to Provincial HWY No.82 Terminal),TW-CYQ,01 Jan 2015,L3663021,S33771225
445,Crested Myna,4,台北華江IBA--華江雁鴨公園(華江橋至中興橋)(Huajiang IBA--Huajiang Wild Duck Nature Park (Huajiang to Zhongxing Bridge)),TW-TPE,02 Feb 2017,L2025478,S34104332
446,Gray Catbird,1,North Chagrin Nature Center Trails,US-OH,23 May 2004,L383892,S33483743
447,Brown Thrasher,1,Pt. Richmond--shoreline/neighborhood,US-CA,12 Feb 2011,L834176,S16392077
448,Long-billed Thrasher,2,Blucher Park (CTC 071),US-TX,23 Feb 2012,L374130,S18738952
449,California Thrasher,,Coyote Hills Regional Park,US-CA,10 Jan 2011,L216132,S16387759
450,Sage Thrasher,1,Coyote Hills Regional Park,US-CA,02 Oct 2013,L216132,S16337352
451,Northern Mockingbird,,Don Edwards NWR (ALA Co.),US-CA,11 Jun 2006,L500360,S19271870
452,Eastern Bluebird,1,Sandy Ridge Reservation,US-OH,28 May 2004,L213276,S33484282
453,Western Bluebird,,Garin/Dry Creek Pioneer Regional Park,US-CA,06 Apr 2008,L381784,S19242694
454,Mountain Bluebird,3,Patterson Pass Rd.,US-CA,14 Nov 2010,L356724,S19220068
455,Townsend's Solitaire,1,Coyote Hills Regional Park,US-CA,15 Jun 2012,L216132,S16377631
456,Varied Thrush,,Sunol Regional Wilderness--Visitor Center area,US-CA,29 Dec 2006,L1342147,S19272191
457,Veery,1,Magee Marsh--Boardwalk,US-OH,12 May 2016,L275986,S29864562
458,Gray-cheeked Thrush,1,Ottawa NWR--Crane Creek Estuary Trail,US-OH,12 May 2016,L1512917,S29864746
459,Swainson's Thrush,,Hayward Regional Shoreline,US-CA,14 May 2010,L225431,S19214840
460,Hermit Thrush,,Coyote Hills Regional Park,US-CA,03 Jan 2007,L216132,S19249308
461,Wood Thrush,1,Magee Marsh--Boardwalk,US-OH,09 May 2016,L275986,S29864974
462,Chinese Blackbird,1,台北--台北植物園(Taipei--Taipei Botanical Garden),TW-TPE,05 Jan 2015,L2314029,S33783201
463,American Robin,1,Carlisle Reservation,US-OH,30 May 2004,L152895,S33490392
464,Gray-backed Thrush,1,花蓮--美崙溪(Hualien--Meilun River),TW-HUA,08 Feb 2014,L4354709,S33759150
465,Brown-headed Thrush,1,台北--台北植物園(Taipei--Taipei Botanical Garden),TW-TPE,03 Mar 2008,L2314029,S33552171
466,Pale Thrush,1,台北--台北植物園(Taipei--Taipei Botanical Garden),TW-TPE,03 Mar 2008,L2314029,S33552171
467,Dusky Thrush,1,台北--陽光運動公園(Taipei--Yangguang Sports Park),TW-TPQ,03 Feb 2014,L5273528,S33758994
468,Naumann's Thrush,1,台北金山--金山青年活動中心(Jinshan--Jinshan Youth Activity Center),TW-TPQ,04 Jan 2015,L3376698,S33782591
469,Oriental Magpie-Robin,2,台北--台北植物園(Taipei--Taipei Botanical Garden),TW-TPE,03 Mar 2008,L2314029,S33552171
470,White-rumped Shama,1,台北--台北植物園(Taipei--Taipei Botanical Garden),TW-TPE,03 Mar 2008,L2314029,S33552171
471,Fujian Niltava,1,花蓮--鯉魚潭(Hualien--Liyu Lake),TW-HUA,01 Feb 2017,L4398749,S34143441
472,Vivid Niltava,2,台中大雪山IBA--大雪山林道15-35K(標示在27K附近)(Dasyueshan IBA--Dasyueshan Forest-Road 15-35K),TW-TXG,28 Dec 2014,L2259760,S33767866
473,Taiwan Whistling-Thrush,2,台中大雪山IBA--大雪山林道15-35K(標示在27K附近)(Dasyueshan IBA--Dasyueshan Forest-Road 15-35K),TW-TXG,15 Mar 2019,L2259760,S54441317
474,Siberian Rubythroat,1,台北金山--清水濕地(Jinshan--Qingshui Wetland),TW-TPQ,04 Jan 2015,L3471455,S33782250
475,White-tailed Robin,1,台中大雪山IBA--大雪山林道15-35K(標示在27K附近)(Dasyueshan IBA--Dasyueshan Forest-Road 15-35K),TW-TXG,28 Dec 2014,L2259760,S33767866
476,Red-flanked Bluetail,1,台北--北投登山路(Taipei--Beitou Dengshan Road),TW-TPE,23 Nov 2012,L2415492,S33747785
477,Daurian Redstart,2,南投--清境農場(Nantou--Qingjing Farm),TW-NAN,14 Nov 2012,L2972359,S33746851
478,Blue Rock-Thrush,1,宜蘭蘭陽溪口IBA--南岸(Lanyang River Estuary IBA--South Shore),TW-ILA,29 Dec 2014,L2441387,S33770034
479,Siberian Stonechat,1,台北--陽光運動公園(Taipei--Yangguang Sports Park),TW-TPQ,14 Feb 2018,L5273528,S42739404
480,Cedar Waxwing,1,Cuyahoga Valley NP--Ira Rd. Beaver Marsh,US-OH,28 May 2004,L416769,S33483889
481,Phainopepla,1,Joshua Tree NP--Cholla Cactus Garden,US-CA,17 Jan 2009,L1000964,S33563504
482,Northern Red Bishop,1,Gomes Park,US-CA,05 Nov 2018,L6345236,S49709737
483,Orange-cheeked Waxbill,,Maui Lu Resort,US-HI,23 Jul 2013,L2520655,S16326687
484,African Silverbill,,Maui Lu Resort,US-HI,23 Jul 2013,L2520655,S16326687
485,White-rumped Munia,1,台北--台北植物園(Taipei--Taipei Botanical Garden),TW-TPE,03 Mar 2008,L2314029,S33552171
486,Scaly-breasted Munia,1,台北--台北植物園(Taipei--Taipei Botanical Garden),TW-TPE,03 Mar 2008,L2314029,S33552171
487,Chestnut Munia,1,花蓮--美崙溪(Hualien--Meilun River),TW-HUA,08 Feb 2014,L4354709,S33759150
488,Java Sparrow,,Maui Lu Resort,US-HI,23 Jul 2013,L2520655,S16326687
489,House Sparrow,3,Penitentiary Glen Reservation,US-OH,06 Jun 2004,L280336,S33490664
490,Eurasian Tree Sparrow,3,台北--台北植物園(Taipei--Taipei Botanical Garden),TW-TPE,03 Mar 2008,L2314029,S33552171
491,Gray Wagtail,1,台北--台北植物園(Taipei--Taipei Botanical Garden),TW-TPE,18 Dec 2009,L2314029,S33586384
492,Eastern Yellow Wagtail,1,花蓮--美崙溪(Hualien--Meilun River),TW-HUA,08 Feb 2014,L4354709,S33759150
493,Citrine Wagtail,1,宜蘭竹安IBA--塭底(Zhu'an IBA--Wendi),TW-ILA,29 Dec 2014,L2897595,S33769659
494,White Wagtail,1,花蓮--美崙溪(Hualien--Meilun River),TW-HUA,08 Feb 2014,L4354709,S33759150
495,Olive-backed Pipit,1,台北--陽光運動公園(Taipei--Yangguang Sports Park),TW-TPQ,25 Sep 2018,L5273528,S48945643
496,Red-throated Pipit,1,MLK Jr. Regional Shoreline--Arrowhead Marsh,US-CA,19 Oct 2013,L161083,S16352500
497,American Pipit,,Coyote Hills Regional Park,US-CA,09 Nov 2008,L216132,S19245593
498,Brambling,6,台北--大安森林公園(Taipei--Da'an Forest Park),TW-TPE,29 Jan 2017,L2319930,S34002239
499,Evening Grosbeak,2,Taylor Creek,US-CA,27 Oct 2011,L461209,S33600745
500,Hawfinch,1,台北--台北植物園(Taipei--Taipei Botanical Garden),TW-TPE,18 Dec 2009,L2314029,S33586384
501,House Finch,3,Carlisle Reservation,US-OH,30 May 2004,L152895,S33490392
502,Purple Finch,,Garin/Dry Creek Pioneer Regional Park,US-CA,19 Dec 2008,L381784,S19246124
503,Cassin's Finch,20,Tahoe Summit Village,US-NV,18 Nov 2016,L5091379,S32619986
504,Red Crossbill,6,Tilden Regional Park--Vollmer Peak,US-CA,08 Sep 2012,L1292955,S33744673
505,European Goldfinch,1,Coyote Hills Regional Park,US-CA,06 Jun 2013,L216132,S16325170
506,Pine Siskin,,Coyote Hills Regional Park,US-CA,12 Oct 2012,L216132,S16380414
507,Lesser Goldfinch,,Coyote Hills Regional Park,US-CA,27 Jan 2007,L216132,S19317937
508,Lawrence's Goldfinch,,Sunol Regional Wilderness--Visitor Center area,US-CA,10 May 2011,L1342147,S16409349
509,American Goldfinch,5,Carlisle Reservation,US-OH,30 May 2004,L152895,S33490392
510,Lapland Longspur,1,Hayward Regional Shoreline,US-CA,16 Nov 2010,L225431,S19220101
511,Chestnut-collared Longspur,1,Hayward Regional Shoreline--Winton Ave. access and parking area,US-CA,19 Oct 2018,L470891,S49308185
512,Little Bunting,1,台北--北投登山路(Taipei--Beitou Dengshan Road),TW-TPE,23 Nov 2012,L2415492,S33747785
513,Black-faced Bunting,2,嘉義鰲鼓濕地IBA--南堤(Aogu Wetland IBA--South Area),TW-CYQ,01 Jan 2015,L1070437,S33772661
514,Grasshopper Sparrow,,Garin/Dry Creek Pioneer Regional Park--May Rd. entrance,US-CA,15 Apr 2011,L500382,S16406796
515,Chipping Sparrow,1,Carlisle Reservation--Equestrian Center,US-OH,18 Sep 2004,L2877046,S33493099
516,Clay-colored Sparrow,1,Coyote Hills Regional Park,US-CA,02 Oct 2010,L216132,S19218920
517,Field Sparrow,5,Blucher Park (CTC 071),US-TX,23 Feb 2012,L374130,S18738952
518,Brewer's Sparrow,1,MLK Jr. Regional Shoreline--Garretson Pt.,US-CA,22 Sep 2017,L492576,S39339973
519,Black-throated Sparrow,1,Coyote Hills Regional Park,US-CA,23 Sep 2010,L216132,S16358377
520,Lark Sparrow,,Garin/Dry Creek Pioneer Regional Park,US-CA,08 Apr 2008,L381784,S19242699
521,Lark Bunting,1,Marsh Rd.,US-CA,25 Mar 2014,L1458006,S33759207
522,American Tree Sparrow,2,"Houghton, NY",US-NY,14 Feb 2009,L5242923,S33576355
523,Fox Sparrow,,Coyote Hills Regional Park,US-CA,27 Jan 2007,L216132,S19317937
524,Dark-eyed Junco,,Coyote Hills Regional Park,US-CA,21 Dec 2006,L216132,S19317483
525,White-crowned Sparrow,,Don Edwards NWR (ALA Co.),US-CA,17 Jan 2006,L500360,S19271688
526,Golden-crowned Sparrow,,Sunol Regional Wilderness--Visitor Center area,US-CA,29 Dec 2006,L1342147,S19272191
527,Harris's Sparrow,1,Hayward Regional Shoreline--Grant Ave. access,US-CA,01 Nov 2012,L749295,S16359198
528,White-throated Sparrow,,Coyote Hills Regional Park,US-CA,23 Oct 2009,L216132,S19235850
529,Bell's Sparrow,2,Del Valle Regional Park,US-CA,03 May 2014,L274775,S18203554
530,Vesper Sparrow,1,Coyote Hills Regional Park,US-CA,05 Oct 2015,L216132,S25315655
531,Nelson's Sparrow,1,MLK Jr. Regional Shoreline--Arrowhead Marsh,US-CA,25 Jan 2012,L161083,S16366855
532,Savannah Sparrow,,Coyote Hills Regional Park,US-CA,02 Sep 2006,L216132,S19272159
533,Song Sparrow,1,Carlisle Reservation,US-OH,30 May 2004,L152895,S33490392
534,Lincoln's Sparrow,,Coyote Hills Regional Park,US-CA,10 Sep 2010,L216132,S19218140
535,Swamp Sparrow,1,Coyote Hills Regional Park,US-CA,28 Nov 2012,L216132,S16385019
536,Abert's Towhee,,"Indian Canyons Golf Resort, Palm Springs",US-CA,18 Dec 2013,L2526129,S16358059
537,California Towhee,,Coyote Hills Regional Park,US-CA,03 Jan 2007,L216132,S19249308
538,Rufous-crowned Sparrow,,Garin/Dry Creek Pioneer Regional Park,US-CA,23 Nov 2007,L381784,S19248801
539,Green-tailed Towhee,1,Tilden Regional Park--Vollmer Peak,US-CA,06 Sep 2012,L1292955,S33744594
540,Spotted Towhee,,Sunol Regional Wilderness--Visitor Center area,US-CA,29 Dec 2006,L1342147,S19272191
541,Eastern Towhee,4,Big Creek Reservation--Lake Isaac,US-OH,05 May 2016,L416864,S29431563
542,Yellow-breasted Chat,1,Coyote Hills Regional Park,US-CA,30 Aug 2012,L216132,S11474727
543,Yellow-headed Blackbird,1,Pacific Commons Linear Park,US-CA,31 Jan 2012,L791702,S16367057
544,Bobolink,1,Oyster Bay Regional Shoreline,US-CA,25 Oct 2013,L716138,S16353486
545,Western Meadowlark,,Coyote Hills Regional Park,US-CA,05 Dec 2006,L216132,S19317399
546,Crested Oropendola,1,Coyote Hills Regional Park,US-CA,25 Aug 2011,L216132,S16411592
547,Orchard Oriole,1,Sunnyvale WPCP (please use a more specific hotspot where possible),US-CA,26 Sep 2013,L279204,S33756315
548,Hooded Oriole,,Coyote Hills Regional Park,US-CA,03 Apr 2008,L216132,S19242678
549,Bullock's Oriole,,Lake Elizabeth,US-CA,17 May 2007,L452554,S19254171
550,Baltimore Oriole,1,North Chagrin Nature Center Trails,US-OH,11 May 2004,L383892,S33483498
551,Red-winged Blackbird,,North Chagrin Nature Center Trails,US-OH,19 Apr 2003,L383892,S33483043
552,Tricolored Blackbird,,Brushy Peak Regional Park,US-CA,23 Apr 2011,L273648,S16407356
553,Brown-headed Cowbird,2,Carlisle Reservation,US-OH,30 May 2004,L152895,S33490392
554,Brewer's Blackbird,10,Palo Alto Baylands--Duck Pond,US-CA,21 Mar 2007,L776939,S33540099
555,Common Grackle,2,Carlisle Reservation,US-OH,30 May 2004,L152895,S33490392
556,Boat-tailed Grackle,2,Patriot's Point - Sparrow Field,US-SC,25 May 2006,L2173699,S33527562
557,Great-tailed Grackle,,Don Edwards NWR (ALA Co.),US-CA,27 Apr 2007,L500360,S19254132
558,Northern Waterthrush,1,Berkeley Aquatic Park,US-CA,19 Jan 2012,L597003,S16359087
559,Black-and-white Warbler,1,Berkeley Aquatic Park,US-CA,18 Jan 2012,L597003,S16363833
560,Prothonotary Warbler,2,Magee Marsh--Boardwalk,US-OH,10 May 2016,L275986,S38431260
561,Tennessee Warbler,1,Coyote Hills Regional Park,US-CA,06 Sep 2013,L216132,S16333570
562,Orange-crowned Warbler,,Hayward Regional Shoreline,US-CA,02 Oct 2008,L225431,S19244701
563,Nashville Warbler,,Del Valle Regional Park,US-CA,18 Apr 2012,L274775,S16375811
564,MacGillivray's Warbler,1,Tilden Regional Park--Vollmer Peak,US-CA,06 Sep 2012,L1292955,S11536009
565,Mourning Warbler,1,Creekside Park (ALA Co.),US-CA,16 Sep 2019,L1764657,S59865590
566,Common Yellowthroat,,Coyote Hills Regional Park,US-CA,11 Jan 2007,L216132,S19317567
567,Hooded Warbler,1,Redwood Regional Park--Skyline Gate area,US-CA,03 Jul 2016,L803038,S30518040
568,American Redstart,1,Lake Cunningham,US-CA,20 Jan 2012,L279253,S33601366
569,Cape May Warbler,1,San Francisquito Creek Trail--Stanford (SCL Co.),US-CA,22 Jan 2013,L1898518,S16249863
570,Cerulean Warbler,1,Magee Marsh--Boardwalk,US-OH,11 May 2016,L275986,S38432173
571,Northern Parula,3,Magee Marsh--Boardwalk,US-OH,11 May 2016,L275986,S38432173
572,Magnolia Warbler,1,Coyote Hills Regional Park,US-CA,09 Sep 2012,L216132,S16358977
573,Bay-breasted Warbler,1,Pt. Reyes--Nunes Ranch (A Ranch) & Road Forks Pool,US-CA,06 Jun 2014,L460136,S33765275
574,Blackburnian Warbler,5,Magee Marsh--Boardwalk,US-OH,11 May 2016,L275986,S38432173
575,Yellow Warbler,,Coyote Hills Regional Park,US-CA,09 Sep 2007,L216132,S19248675
