Row #,Species,Count,Location,S/P,Date,LocID,SubID
113,Wilson's Phalarope,3,Sierra Valley--Power Station,US-CA,02 Jun 2017,L2029167,S37333658
114,Red-necked Phalarope,1,Brickyard Cove (ALA Co.),US-CA,27 Aug 2015,L1365042,S31376114
115,Red Phalarope,4,Hayward Regional Shoreline--Interpretive Center,US-CA,09 May 2017,L587721,S36693364
116,Spotted Sandpiper,1,Albany Bulb,US-CA,29 Jan 2015,L178143,S25903682
117,Solitary Sandpiper,1,McLaughlin Eastshore SP--Berkeley Meadow,US-CA,02 May 2017,L298487,S36492091
118,Wandering Tattler,1,"(37.2632,-122.7573)",US-CA,21 Jul 2018,L7738045,S47345197
119,Greater Yellowlegs,1,Albany Bulb,US-CA,29 Jan 2015,L178143,S25903682
120,Willet,,Albany Bulb,US-CA,29 Jan 2015,L178143,S25903682
121,Lesser Yellowlegs,1,Coyote Hills Regional Park--Quarry Staging Area,US-CA,13 Aug 2016,L2104268,S31084245
122,South Polar Skua,1,"(37.0668,-122.9299)",US-CA,21 Jul 2018,L7738042,S47345203
123,Parasitic Jaeger,1,Emeryville Marina,US-CA,26 Oct 2021,L764558,S96747814
124,Common Murre,1,Brickyard Cove (ALA Co.),US-CA,24 Aug 2015,L1365042,S24751748
125,Pigeon Guillemot,1,Crown Memorial SB--Crab Cove area,US-CA,10 Sep 2015,L1124286,S24974742
126,Marbled Murrelet,6,Half Moon Bay--inshore bay,US-CA,21 Jul 2018,L1247080,S47345228
127,Scripps's Murrelet,2,"(37.2813,-122.6606)",US-CA,21 Jul 2018,L7738035,S47345223
128,Cassin's Auklet,4,Shearwater Journeys_08/06/17_Leg2/5,US-CA,06 Aug 2017,L6161342,S38534599
129,Parakeet Auklet,1,Land's End--seawatch,US-CA,29 Jul 2017,L1089435,S38384417
130,Rhinoceros Auklet,1,Shearwater Journeys_08/06/17_Leg3/5,US-CA,06 Aug 2017,L6159913,S38534580
131,Tufted Puffin,18,Southeast Farallon Island (Farallon Islands NWR)--Nearshore Waters (less than 2 mi.) - including seabird colonies,US-CA,06 Aug 2017,L6069589,S38534587
132,Sabine's Gull,8,"(37.1233,-122.8808)",US-CA,21 Jul 2018,L7738041,S47345205
133,Bonaparte's Gull,4,Don Edwards NWR--No Name Trail,US-CA,27 Nov 2017,L2248482,S40776832
134,Laughing Gull,2,Reserva Biológica Nosara (Lagarta),CR-G,31 Jan 2020,L2032097,S63975059
135,Heermann's Gull,4,Point Reyes National Seashore,US-CA,06 Sep 2010,L4314773,S92011765
136,Short-billed Gull,6,Albany Bulb,US-CA,24 Nov 2015,L178143,S26010763
137,Ring-billed Gull,,Albany Bulb,US-CA,29 Jan 2015,L178143,S25903682
138,Western Gull,10,Point Reyes National Seashore,US-CA,06 Sep 2010,L4314773,S92011765
139,California Gull,,Brickyard Cove (ALA Co.),US-CA,27 Aug 2015,L1365042,S31376114
140,Herring Gull,1,Rush Ranch Open Space,US-CA,18 Oct 2015,L469673,S25463002
141,Iceland Gull,3,Lake Merced--Concrete Bridge area,US-CA,27 Jan 2018,L791371,S42277368
142,Glaucous-winged Gull,1,Emeryville shoreline--near fire station,US-CA,08 Oct 2015,L1801585,S25346609
143,Glaucous Gull,1,Don Edwards NWR--No Name Trail,US-CA,28 Nov 2021,L2248482,S98220104
144,Least Tern,150,Alameda Naval Air Station (restricted access),US-CA,19 May 2016,L109468,S29783851
145,Caspian Tern,2,Berkeley Aquatic Park,US-CA,19 Apr 2015,L597003,S27382045
146,Common Tern,1,Elsie Roemer Bird Sanctuary,US-CA,14 Aug 2019,L509134,S58993846
147,Forster's Tern,,Berkeley Aquatic Park,US-CA,19 Apr 2015,L597003,S27382045
148,Royal Tern,5,Rio Nosara estuary,CR-G,29 Jan 2020,L3858895,S63912110
149,Elegant Tern,3,Elsie Roemer Bird Sanctuary,US-CA,10 Sep 2015,L509134,S24974712
150,Black Skimmer,3,Hayward Regional Shoreline--Interpretive Center,US-CA,04 Jul 2016,L587721,S30537815
151,Red-throated Loon,1,Albany Bulb,US-CA,29 Jan 2015,L178143,S25903682
152,Pacific Loon,1,Pt. Reyes--Drakes Beach (do not include Horseshoe Pond or beach/estero beyond Horseshoe Pond),US-CA,22 Sep 2018,L391136,S48692313
153,Common Loon,1,Albany Bulb,US-CA,29 Jan 2015,L178143,S25903682
154,Black-footed Albatross,1,Shearwater Journeys_08/06/17_Leg3/5,US-CA,06 Aug 2017,L6159913,S38534580
155,Wilson's Storm-Petrel,1,"(37.2813,-122.6606)",US-CA,21 Jul 2018,L7738035,S47345223
156,Ashy Storm-Petrel,40,"(37.1233,-122.8808)",US-CA,21 Jul 2018,L7738041,S47345205
157,Northern Fulmar,1,Shearwater Journeys_08/06/17_Leg3/5,US-CA,06 Aug 2017,L6159913,S38534580
158,Pink-footed Shearwater,21,Shearwater Journeys_08/06/17_Leg3/5,US-CA,06 Aug 2017,L6159913,S38534580
159,Buller's Shearwater,1,"(37.2041,-122.7859)",US-CA,21 Jul 2018,L7738038,S47345208
160,Sooty Shearwater,6,Shearwater Journeys_08/06/17_Leg3/5,US-CA,06 Aug 2017,L6159913,S38534580
161,Wood Stork,1,"Unnamed Road, Nosara, Provincia de Guanacaste, CR (9.986, -85.646)",CR-G,31 Jan 2020,L10656303,S63977037
162,Magnificent Frigatebird,2,Rio Nosara estuary,CR-G,29 Jan 2020,L3858895,S63912110
163,Masked Booby,1,Shearwater Journeys_08/06/17_Leg1/5,US-CA,06 Aug 2017,L6161328,S38534604
164,Blue-footed Booby,1,Southeast Farallon Island (Farallon Islands NWR)--Nearshore Waters (less than 2 mi.) - including seabird colonies,US-CA,06 Aug 2017,L6069589,S38534587
165,Brown Booby,1,Raccoon Strait,US-CA,21 Nov 2015,L4023018,S25969019
166,Red-footed Booby,1,Pillar Point Harbor,US-CA,18 Nov 2017,L242192,S40578877
167,Northern Gannet,1,Devil's Slide Trail and Egg Rock,US-CA,31 Dec 2017,L1528599,S41482481
168,Anhinga,1,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,26 Jan 2020,L10578414,S63822179
169,Brandt's Cormorant,3,Raccoon Strait,US-CA,21 Nov 2015,L4023018,S25969019
170,Pelagic Cormorant,2,Albany Bulb,US-CA,29 Jan 2015,L178143,S25903682
171,Double-crested Cormorant,,Albany Bulb,US-CA,29 Jan 2015,L178143,S25903682
172,Neotropic Cormorant,2,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,28 Jan 2020,L10578414,S63885772
173,American White Pelican,30,Point Reyes National Seashore,US-CA,06 Sep 2010,L4314773,S92011765
174,Brown Pelican,3,Point Reyes National Seashore,US-CA,06 Sep 2010,L4314773,S92011765
175,American Bittern,1,Coyote Hills Regional Park,US-CA,17 Oct 2015,L216132,S25462228
176,Least Bittern,2,Las Gallinas Valley Sanitary District,US-CA,22 Jul 2017,L207664,S38272191
177,Bare-throated Tiger-Heron,1,Rio Nosara estuary,CR-G,29 Jan 2020,L3858895,S63912110
178,Great Blue Heron,1,Brickyard Cove (ALA Co.),US-CA,27 Aug 2015,L1365042,S31376114
179,Great Egret,1,Berkeley Aquatic Park,US-CA,19 Apr 2015,L597003,S27382045
180,Snowy Egret,,Albany Bulb,US-CA,29 Jan 2015,L178143,S25903682
181,Little Blue Heron,1,Loch Lomond Marina,US-CA,20 Apr 2019,L7014778,S55181583
182,Cattle Egret,4,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,26 Jan 2020,L10578414,S63808343
183,Green Heron,1,Berkeley Aquatic Park,US-CA,19 Apr 2015,L597003,S27382045
184,Black-crowned Night-Heron,2,Crown Memorial SB--Crab Cove area,US-CA,10 Sep 2015,L1124286,S24974742
185,Yellow-crowned Night-Heron,3,Rio Nosara estuary,CR-G,29 Jan 2020,L3858895,S63912110
186,White Ibis,6,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,26 Jan 2020,L10578414,S63808343
187,Glossy Ibis,1,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,26 Jan 2020,L10578414,S63822179
188,White-faced Ibis,1,Las Gallinas Valley Sanitary District,US-CA,27 Sep 2015,L207664,S25338951
189,Black Vulture,1,"38.357x-77.093 - Jan 12, 2016 1:14 PM",US-VA,13 Jan 2016,L4153530,S26874303
190,Turkey Vulture,4,"Tilden Regional Park, Redwood trail",US-CA,20 Jun 2015,L4045474,S23986482
191,Osprey,1,Pt. Pinole Regional Park,US-CA,17 May 2015,L109308,S26561977
192,White-tailed Kite,1,Las Gallinas Valley Sanitary District,US-CA,27 Sep 2015,L207664,S25338951
193,Golden Eagle,2,"Sunol Regional Wilderness, McCorkle Trail",US-CA,12 Nov 2015,L4004263,S25809185
194,Double-toothed Kite,1,"Villa Mariposa, Nosara, Guanacaste Province, CR (9.991, -85.625)",CR-G,27 Jan 2020,L10573282,S65181409
195,Northern Harrier,2,Las Gallinas Valley Sanitary District,US-CA,27 Sep 2015,L207664,S25338951
196,Sharp-shinned Hawk,1,Las Gallinas Valley Sanitary District,US-CA,27 Sep 2015,L207664,S25338951
